No,Status BPHTB,Subholding,Region,Eks PTPN,No Sertifikat,No Identifikasi Aset (SAP Legal),Nama Sertifikat,Jenis Hak,Nama Unit,Desa,Kecamatan,Kabupaten,Provinsi,Pulau,Komoditas,Luas (Ha),Luas (Ha) sebelum,Areal Planted (Ha),Areal Lain-lain (Ha),"Areal Lahan Kosong, Cadangan (Ha)","Areal Jalan, Jembatan (Ha)","Bangunan, Emplasment, Fasum, Fasos, dll (Ha)","Kanal/Parit, Sungai, Jurang, Areal Rawa (Ha)",Konservasi/Kawasan Hutan (Ha) ,Areal Kerjasama (Ha),Areal Okupasi (Ha),Okupasi Berat (Ha),Okupasi Sedang (Ha),Okupasi Ringan (Ha),Jumlah Bidang,Status Alas Hak,Tanggal Terbit Sertifikat Hak Atas Tanah,Tanggal Berakhir Sertifikat Hak Atas Tan,Nilai Buku (Rp),NJOP (Rp),Fair Value,NOP,Kode,Date Today,Masa Berlaku Sertifikat,Masa Berlaku Sertifikat yang Masih Berlaku,Urutan Alas Hak,Link Polygon,Status Penyelesaian BPHTB,Tahun Berakhir
1,Tidak Terdampak BPHTB,PTPN I,REGIONAL 6,PTPN I,0126,N001AK01,126/SIMPANG KANAN,HGU,PULAU TIGA,SIMPANG KANAN,KEJURUAN MUDA,ACEH TAMIANG,ACEH,SUMATERA,KELAPA SAWIT,"1.075,56","1.075,56",,,,,,,,,,,,,0,HGU,06/09/1999,20/12/2024,25.103.291.191,,,,1,17/09/2026,BERAKHIR,BERAKHIR,1,https://drive.google.com/file/d/1ERNbBSH7uNnTgK4VndnZ_AGZuLMUcUm_/view?usp=drive_link,ON PROGRESS,2024
2,Tidak Terdampak BPHTB,PTPN I,REGIONAL 6,PTPN I,0127,N001AK01,127/KALOY,HGU,PULAU TIGA,KALOY,TAMIANG HULU,ACEH TAMIANG,ACEH,SUMATERA,KELAPA SAWIT,"2.180,80","1.980,80",,,,,,,,,,,,,0,HGU,06/09/1999,20/12/2024,50.899.305.877,,,,1,17/09/2026,BERAKHIR,BERAKHIR,1,https://drive.google.com/file/d/12a9PTTtzf19QIH-lyyRVSJ5WmDaJIabM/view?usp=drive_link,ON PROGRESS,2024
3,Tidak Terdampak BPHTB,PTPN I,REGIONAL 6,PTPN I,0127,N001AK01,127/KALOY,Dalam Proses Sertifikasi,PULAU TIGA,KALOY,TAMIANG HULU,ACEH TAMIANG,ACEH,SUMATERA,KELAPA SAWIT,,"200,00",,,,,,,,,,,,,1,BELUM BERSERTIFIKAT,-,-,,,,,1,17/09/2026,BELUM BERSERTIFIKAT,BELUM BERSERTIFIKAT,5,https://drive.google.com/file/d/12a9PTTtzf19QIH-lyyRVSJ5WmDaJIabM/view?usp=drive_link,ON PROGRESS,-
4,BPHTB,PTPN I,REGIONAL 6,PTPN I,0001,N001AK01,1/HARUM SARI,HGU,PULAU TIGA,HARUM SARI,TAMIANG HULU,ACEH TAMIANG,ACEH,SUMATERA,KELAPA SAWIT,"465,11","465,11",,,,,,,,,,,,,0,HGU,17/01/1987,31/12/2019,10.855.546.660,,,,1,17/09/2026,BERAKHIR,BERAKHIR,1,,ON PROGRESS,2019
5,Tidak Terdampak BPHTB,PTPN I,REGIONAL 6,PTPN I,0226,N001AK01,"226/BABO, PANTAI CEMPA, PENGIDAM, BENGKELANG, BATU BEDULANG",HGU,PULAU TIGA,"BABO, PANTAI CEMPA, PENGIDAM, BENGKELANG, BATU BEDULANG",BANDAR PUSAKA,ACEH TAMIANG,ACEH,SUMATERA,KELAPA SAWIT,"219,33","219,33",,,,,,,,,,,,,0,HGU,24/03/2021,31/12/2044,5.119.105.263,,,,1,17/09/2026,BERLAKU,>5 TAHUN,1,https://drive.google.com/file/d/1IZR3qaEThjhw3aIc4a6z97FNXIGp19_F/view?usp=drive_link,ON PROGRESS,2044
6,Tidak Terdampak BPHTB,PTPN I,REGIONAL 6,PTPN I,0227,N001AK01,"227/BABO, PANTAI CEMPA, PENGIDAM, BENGKELANG, BATU BEDULANG",HGU,PULAU TIGA,"BABO, PANTAI CEMPA, PENGIDAM, BENGKELANG, BATU BEDULANG",BANDAR PUSAKA,ACEH TAMIANG,ACEH,SUMATERA,KELAPA SAWIT,"11,68","11,68",,,,,,,,,,,,,0,HGU,24/03/2021,31/12/2044,272.608.158,,,,1,17/09/2026,BERLAKU,>5 TAHUN,1,https://drive.google.com/file/d/1NC8SCtNfMT-KCm419AVF3QnU0rEGj9Ep/view?usp=drive_link,ON PROGRESS,2044
7,Tidak Terdampak BPHTB,PTPN I,REGIONAL 6,PTPN I,0228,N001AK01,"228/BABO, PANTAI CEMPA, PENGIDAM, BENGKELANG, BATU BEDULANG",HGU,PULAU TIGA,"BABO, PANTAI CEMPA, PENGIDAM, BENGKELANG, BATU BEDULANG",BANDAR PUSAKA,ACEH TAMIANG,ACEH,SUMATERA,KELAPA SAWIT,"7,58","7,58",,,,,,,,,,,,,0,HGU,24/03/2021,31/12/2044,176.915.232,,,,1,17/09/2026,BERLAKU,>5 TAHUN,1,https://drive.google.com/file/d/1vYw8z2T7txIZPaN7E7FFfrvySMRy48Ks/view?usp=drive_link,ON PROGRESS,2044
8,Tidak Terdampak BPHTB,PTPN I,REGIONAL 6,PTPN I,0229,N001AK01,"229/BABO, PANTAI CEMPA, PENGIDAM, BENGKELANG, BATU BEDULANG",HGU,PULAU TIGA,"BABO, PANTAI CEMPA, PENGIDAM, BENGKELANG, BATU BEDULANG",BANDAR PUSAKA,ACEH TAMIANG,ACEH,SUMATERA,KELAPA SAWIT,"1,62","1,62",,,,,,,,,,,,,0,HGU,24/03/2021,31/12/2044,37.810.379,,,,1,17/09/2026,BERLAKU,>5 TAHUN,1,https://drive.google.com/file/d/1hqe7pSsewUqNpFgrcs0au__LFx3k876d/view?usp=drive_link,ON PROGRESS,2044
9,Tidak Terdampak BPHTB,PTPN I,REGIONAL 6,PTPN I,0230,N001AK01,"230/BABO, PANTAI CEMPA, PENGIDAM, BENGKELANG, BATU BEDULANG",HGU,PULAU TIGA,"BABO, PANTAI CEMPA, PENGIDAM, BENGKELANG, BATU BEDULANG",BANDAR PUSAKA,ACEH TAMIANG,ACEH,SUMATERA,KELAPA SAWIT,"94,13","94,13",,,,,,,,,,,,,0,HGU,24/03/2021,31/12/2044,2.196.969.764,,,,1,17/09/2026,BERLAKU,>5 TAHUN,1,https://drive.google.com/file/d/15zpGfL6v9Ja-R83mwFtBTggMFfQ-CJ6S/view?usp=drive_link,ON PROGRESS,2044
10,Tidak Terdampak BPHTB,PTPN I,REGIONAL 6,PTPN I,0231,N001AK01,"231/BABO, PANTAI CEMPA, PENGIDAM, BENGKELANG, BATU BEDULANG",HGU,PULAU TIGA,"BABO, PANTAI CEMPA, PENGIDAM, BENGKELANG, BATU BEDULANG",BANDAR PUSAKA,ACEH TAMIANG,ACEH,SUMATERA,KELAPA SAWIT,"62,41","62,41",,,,,,,,,,,,,0,HGU,24/03/2021,31/12/2044,1.456.633.199,,,,1,17/09/2026,BERLAKU,>5 TAHUN,1,https://drive.google.com/file/d/1XSWkEF6t7YO79mzxbKblwJUmK7Iy5LIJ/view?usp=drive_link,ON PROGRESS,2044
