Region,Kebun,"Luas (ha)"
"Regional 1","UNIT KEBUN SAWIT HULU",9671
"Regional 1","UNIT KEBUN KWALA SAWIT ",6541
"Regional 1","UNIT KEBUN SAWIT SEBERANG",6715.32
"Regional 1","UNIT KEBUN BATANG SERANGAN",4262.5
"Regional 1","UNIT KEBUN AIR TENANG",4905
"Regional 1","UNIT KEBUN TANJUNG GARBUS",4676.31549554
"Regional 1","UNIT KEBUN PATUMBAK",2208.85858621
"Regional 1","UNIT KEBUN LIMAU MUNGKUR",3050.62710665
"Regional 1","UNIT KEBUN MELATI",1998.81
"Regional 1","UNIT KEBUN BANDAR KLIPPA",6606.61
"Regional 1","UNIT KEBUN TANJUNG JATI",1868.60398187
"Regional 1","TANDEM SAWIT",1233.4915268407
"Regional 1","SEI SEMAYANG SAWIT",2449.8638924765
"Regional 1","UNIT KEBUN HELVETIA SAWIT",1891.5086205923
"Regional 1","UNIT KEBUN BULU CINA SAWIT",717.29448924056
"Regional 1","UNIT KEBUNKWALA MADU SAWIT",1519.9252407654
"Regional 1","TANDEM TEBU",2951.3798979719
"Regional 1","SEI SEMAYANG TEBU",3219.5219625148
"Regional 1","HELVETIA TEBU",3187.099821254
"Regional 1","BULU CINA TEBU",2223.6106461212
"Regional 1","KWALA MADU TEBU",4296.5287319527
"Regional 1",BARUMUN,1808.4
"Regional 1","ARSO TAMI",2680.46
"Regional 1","PT LNK",21097.31
"Regional 2","UNIT KEBUN CIBUNGUR",4098.03
"Regional 2","UNIT KEBUN PASIRBADAK",4491.67
"Regional 2","UNIT KEBUN CIKASO_AGRABINTA",5024.31
"Regional 2","UNIT KEBUN CIKUMPAY",5048.82
"Regional 2","UNIT KEBUN JALUPANG_WANGUNREJA",6127.157
"Regional 2","UNIT KEBUN MIRAMARE",4057.076
"Regional 2","UNIT KEBUN BUNISARI LENDRA",4019.68
"Regional 2","UNIT KEBUN BAGJANAGARA",2689.22
"Regional 2","UNIT KEBUN BATULAWANG_CIKUPA",5132.49
"Regional 2","UNIT KEBUN RANCABALI",7383.66
"Regional 2","UNIT KEBUN MALABAR",6339.32
"Regional 2","UNIT KEBUN SEDEP",6428.698
"Regional 2","UNIT KEBUN GEDEH",4898.01
"Regional 2","UNIT KEBUN MONTAYA",6244.72
"Regional 2","UNIT KEBUN CISARUNI",4813.02
"Regional 2","UNIT KEBUN CIATER",8106.66
"Regional 2","UNIT KEBUN KERTAJAYA (KSO)",3174.93
"Regional 2","UNIT KEBUN BOJONGDATAR (KSO)",3239.88
"Regional 2","UNIT KEBUN CISALAK BARU (KSO)",5323.09
"Regional 2","UNIT KEBUN CIKASUNGKA (KSO)",3956.37
"Regional 2","UNIT KEBUN SUKAMAJU (KSO)",4165.86
"Regional 2","UNIT KEBUN PANGLEJAR (KSO)",2671.09
"Regional 2","UNIT KEBUN PARAKANSALAK+CIBUNGUR (KSO)",4883.08
"Regional 2","UNIT KEBUN GUNUNG MAS (AGROWISATA)",1623.18
